docId	firstName	lastName	key	twitterHandle	stateCode	chamber	senateRank	houseDistrict	party	startTerm	endTerm	url	phone
suzanne-bonamici	Suzanne	Bonamici	OR-rep-1	RepBonamici	OR	rep		1	Democrat	1/3/2019	1/3/2021	https://bonamici.house.gov	(202) 225-0855
mike-bost	Mike	Bost	IL-rep-12	RepBost	IL	rep		12	Republican	1/3/2019	1/3/2021	https://bost.house.gov	(202) 225-5661
brendan-boyle	Brendan	Boyle	PA-rep-2	CongBoyle	PA	rep		2	Democrat	1/3/2019	1/3/2021	https://boyle.house.gov	(202) 225-6111
kevin-brady	Kevin	Brady	TX-rep-8	RepKevinBrady	TX	rep		8	Republican	1/3/2019	1/3/2021	https://kevinbrady.house.gov	(202) 225-4901
anthony-brindisi	Anthony	Brindisi	NY-rep-22	RepBrindisi	NY	rep		22	Democrat	1/3/2019	1/3/2021		(202) 225-3665
mo-brooks	Mo	Brooks	AL-rep-5	RepMoBrooks	AL	rep		5	Republican	1/3/2019	1/3/2021	https://brooks.house.gov	(202) 225-4801
susan-brooks	Susan	Brooks	IN-rep-5	SusanWBrooks	IN	rep		5	Republican	1/3/2019	1/3/2021	https://susanwbrooks.house.gov	(202) 225-2276
anthony-brown	Anthony	Brown	MD-rep-4	BrownforMD	MD	rep		4	Democrat	1/3/2019	1/3/2021	https://anthonybrown.house.gov	(202) 225-8699
julia-brownley	Julia	Brownley	CA-rep-26	JuliaBrownley26	CA	rep		26	Democrat	1/3/2019	1/3/2021	https://juliabrownley.house.gov	(202) 225-5811
vern-buchanan	Vern	Buchanan	FL-rep-16	VernBuchanan	FL	rep		16	Republican	1/3/2019	1/3/2021	https://buchanan.house.gov	(202) 225-5015
ken-buck	Ken	Buck	CO-rep-4	RepKenBuck	CO	rep		4	Republican	1/3/2019	1/3/2021	https://buck.house.gov	(202) 225-4676
larry-bucshon	Larry	Bucshon	IN-rep-8	RepLarryBucshon	IN	rep		8	Republican	1/3/2019	1/3/2021	https://bucshon.house.gov	(202) 225-4636
ted-budd	Ted	Budd	NC-rep-13	BuddforCongress	NC	rep		13	Republican	1/3/2019	1/3/2021	https://budd.house.gov	(202) 225-4531
tim-burchett	Tim	Burchett	TN-rep-2	RepTimBurchett	TN	rep		2	Republican	1/3/2019	1/3/2021		(202) 225-5435
michael-burgess	Michael	Burgess	TX-rep-26	michaelcburgess	TX	rep		26	Republican	1/3/2019	1/3/2021	https://burgess.house.gov	(202) 225-7772
cheri-bustos	Cheri	Bustos	IL-rep-17	RepCheri	IL	rep		17	Democrat	1/3/2019	1/3/2021	https://bustos.house.gov	(202) 225-5905
george-butterfield	George	Butterfield	NC-rep-1	GKButterfield	NC	rep		1	Democrat	1/3/2019	1/3/2021	https://butterfield.house.gov	(202) 225-3101
bradley-byrne	Bradley	Byrne	AL-rep-1	RepByrne	AL	rep		1	Republican	1/3/2019	1/3/2021	https://byrne.house.gov	(202) 225-4931
tony-cardenas	Tony	C'ardenas	CA-rep-29	RepCardenas	CA	rep		29	Democrat	1/3/2019	1/3/2021	https://cardenas.house.gov	(202) 225-6131
ken-calvert	Ken	Calvert	CA-rep-42	KenCalvert	CA	rep		42	Republican	1/3/2019	1/3/2021	https://calvert.house.gov	(202) 225-1986
salud-carbajal	Salud	Carbajal	CA-rep-24	CarbajalSalud	CA	rep		24	Democrat	1/3/2019	1/3/2021	https://carbajal.house.gov	(202) 225-3601
andre-carson	Andr'e	Carson	IN-rep-7	RepAndreCarson	IN	rep		7	Democrat	1/3/2019	1/3/2021	https://carson.house.gov	(202) 225-4011
buddy-carter	Buddy	Carter	GA-rep-1	RepBuddyCarter	GA	rep		1	Republican	1/3/2019	1/3/2021	https://buddycarter.house.gov	(202) 225-5831
john-carter	John	Carter	TX-rep-31	JudgeCarter	TX	rep		31	Republican	1/3/2019	1/3/2021	https://carter.house.gov	(202) 225-3864
matthew-cartwright	Matthew	Cartwright	PA-rep-8	RepCartwright	PA	rep		8	Democrat	1/3/2019	1/3/2021	https://cartwright.house.gov	(202) 225-5546
ed-case	Ed	Case	HI-rep-1	RepEdCase	HI	rep		1	Democrat	1/3/2019	1/3/2021	http://www.house.gov/case	(202) 225-2726
sean-casten	Sean	Casten	IL-rep-6	RepCasten	IL	rep		6	Democrat	1/3/2019	1/3/2021		(202) 225-4561
kathy-castor	Kathy	Castor	FL-rep-14	USRepKCastor	FL	rep		14	Democrat	1/3/2019	1/3/2021	https://castor.house.gov	(202) 225-3376
joaquin-castro	Joaquin	Castro	TX-rep-20	JoaquinCastrotx	TX	rep		20	Democrat	1/3/2019	1/3/2021	https://castro.house.gov	(202) 225-3236
steve-chabot	Steve	Chabot	OH-rep-1	RepSteveChabot	OH	rep		1	Republican	1/3/2019	1/3/2021	https://chabot.house.gov	(202) 225-2216
liz-cheney	Liz	Cheney	WY-rep-0	Liz_Cheney	WY	rep		0	Republican	1/3/2019	1/3/2021	https://cheney.house.gov	(202) 225-2311
judy-chu	Judy	Chu	CA-rep-27	RepJudyChu	CA	rep		27	Democrat	1/3/2019	1/3/2021	https://chu.house.gov	(202) 225-5464
david-cicilline	David	Cicilline	RI-rep-1	RepCicilline	RI	rep		1	Democrat	1/3/2019	1/3/2021	https://cicilline.house.gov	(202) 225-4911
gilbert-cisneros	Gilbert	Cisneros	CA-rep-39	RepGilCisneros	CA	rep		39	Democrat	1/3/2019	1/3/2021		(202) 225-4111
katherine-clark	Katherine	Clark	MA-rep-5	RepKClark	MA	rep		5	Democrat	1/3/2019	1/3/2021	https://katherineclark.house.gov	(202) 225-2836
yvette-clarke	Yvette	Clarke	NY-rep-9	YvetteClarke	NY	rep		9	Democrat	1/3/2019	1/3/2021	https://clarke.house.gov	(202) 225-6231
wm-clay	Wm.	Clay	MO-rep-1	LacyClayMO1	MO	rep		1	Democrat	1/3/2019	1/3/2021	https://lacyclay.house.gov	(202) 225-2406
emanuel-cleaver	Emanuel	Cleaver	MO-rep-5	repcleaver	MO	rep		5	Democrat	1/3/2019	1/3/2021	https://cleaver.house.gov	(202) 225-4535
ben-cline	Ben	Cline	VA-rep-6	RepBenCline	VA	rep		6	Republican	1/3/2019	1/3/2021		(202) 225-5431
michael-cloud	Michael	Cloud	TX-rep-27	RepCloudTX	TX	rep		27	Republican	1/3/2019	1/3/2021	https://cloud.house.gov/	(202) 225-7742
james-clyburn	James	Clyburn	SC-rep-6	Clyburn	SC	rep		6	Democrat	1/3/2019	1/3/2021	https://clyburn.house.gov	(202) 225-3315
steve-cohen	Steve	Cohen	TN-rep-9	RepCohen	TN	rep		9	Democrat	1/3/2019	1/3/2021	https://cohen.house.gov	(202) 225-3265
tom-cole	Tom	Cole	OK-rep-4	TomColeOK04	OK	rep		4	Republican	1/3/2019	1/3/2021	https://cole.house.gov	(202) 225-6165
doug-collins	Doug	Collins	GA-rep-9	RepChrisCollins	GA	rep		9	Republican	1/3/2019	1/3/2021	https://dougcollins.house.gov	(202) 225-9893
chris-collins	Chris	Collins	NY-rep-27	RepDougCollins	NY	rep		27	Republican	1/3/2019	1/3/2021	https://chriscollins.house.gov	(202) 225-5265
james-comer	James	Comer	KY-rep-1	KYComer	KY	rep		1	Republican	1/3/2019	1/3/2021	https://comer.house.gov	(202) 225-3115
k-conaway	K.	Conaway	TX-rep-11	ConawayTX11	TX	rep		11	Republican	1/3/2019	1/3/2021	https://conaway.house.gov	(202) 225-3605
gerald-connolly	Gerald	Connolly	VA-rep-11	GerryConnolly	VA	rep		11	Democrat	1/3/2019	1/3/2021	https://connolly.house.gov	(202) 225-1492
paul-cook	Paul	Cook	CA-rep-8	RepPaulCook	CA	rep		8	Republican	1/3/2019	1/3/2021	https://cook.house.gov	(202) 225-5861
jim-cooper	Jim	Cooper	TN-rep-5	repjimcooper	TN	rep		5	Democrat	1/3/2019	1/3/2021	https://cooper.house.gov	(202) 225-4311
j-correa	J.	Correa	CA-rep-46	LouCorreaCA	CA	rep		46	Democrat	1/3/2019	1/3/2021	https://correa.house.gov	(202) 225-2965
jim-costa	Jim	Costa	CA-rep-16	RepJimCosta	CA	rep		16	Democrat	1/3/2019	1/3/2021	https://costa.house.gov	(202) 225-3341
joe-courtney	Joe	Courtney	CT-rep-2	RepJoeCourtney	CT	rep		2	Democrat	1/3/2019	1/3/2021	https://courtney.house.gov	(202) 225-2076
tj-cox	TJ	Cox	CA-rep-21	RepTJCox	CA	rep		21	Democrat	1/3/2019	1/3/2021		(202) 225-4695
angie-craig	Angie	Craig	MN-rep-2	RepAngieCraig	MN	rep		2	Democrat	1/3/2019	1/3/2021		(202) 225-2271
eric-crawford	Eric	Crawford	AR-rep-1	RepRickCrawford	AR	rep		1	Republican	1/3/2019	1/3/2021	https://crawford.house.gov	(202) 225-4076
dan-crenshaw	Dan	Crenshaw	TX-rep-2	RepDanCrenshaw	TX	rep		2	Republican	1/3/2019	1/3/2021		(202) 225-6565
charlie-crist	Charlie	Crist	FL-rep-13	CharlieCrist	FL	rep		13	Democrat	1/3/2019	1/3/2021	https://crist.house.gov	(202) 225-5961
jason-crow	Jason	Crow	CO-rep-6	RepJasonCrow	CO	rep		6	Democrat	1/3/2019	1/3/2021		(202) 225-7882
henry-cuellar	Henry	Cuellar	TX-rep-28	RepCuellar	TX	rep		28	Democrat	1/3/2019	1/3/2021	https://cuellar.house.gov	(202) 225-1640
elijah-cummings	Elijah	Cummings	MD-rep-7	RepCummings	MD	rep		7	Democrat	1/3/2019	1/3/2021	https://cummings.house.gov	(202) 225-4741
joe-cunningham	Joe	Cunningham	SC-rep-1	RepCunningham	SC	rep		1	Democrat	1/3/2019	1/3/2021		(202) 225-3176
john-curtis	John	Curtis	UT-rep-3	RepJohnCurtis	UT	rep		3	Republican	1/3/2019	1/3/2021	https://curtis.house.gov	(202) 225-7751
sharice-davids	Sharice	Davids	KS-rep-3	RepDavids	KS	rep		3	Democrat	1/3/2019	1/3/2021		(202) 225-2865
warren-davidson	Warren	Davidson	OH-rep-8	WarrenDavidson	OH	rep		8	Republican	1/3/2019	1/3/2021	https://davidson.house.gov	(202) 225-6205
susan-davis	Susan	Davis	CA-rep-53	RepSusanDavis	CA	rep		53	Democrat	1/3/2019	1/3/2021	https://susandavis.house.gov	(202) 225-2040
rodney-davis	Rodney	Davis	IL-rep-13	RodneyDavis	IL	rep		13	Republican	1/3/2019	1/3/2021	https://rodneydavis.house.gov	(202) 225-2371
danny-davis	Danny	Davis	IL-rep-7	RepDannyDavis	IL	rep		7	Democrat	1/3/2019	1/3/2021	https://davis.house.gov	(202) 225-5006
madeleine-dean	Madeleine	Dean	PA-rep-4	RepDean	PA	rep		4	Democrat	1/3/2019	1/3/2021		(202) 225-4731
peter-defazio	Peter	DeFazio	OR-rep-4	RepPeterDeFazio	OR	rep		4	Democrat	1/3/2017	1/3/2019	https://defazio.house.gov	202-225-6416
diana-degette	Diana	DeGette	CO-rep-1	RepDianaDeGette	CO	rep		1	Democrat	1/3/2019	1/3/2021	https://degette.house.gov	(202) 225-4431
rosa-delauro	Rosa	DeLauro	CT-rep-3	rosadelauro	CT	rep		3	Democrat	1/3/2019	1/3/2021	https://delauro.house.gov	(202) 225-3661
suzan-delbene	Suzan	DelBene	WA-rep-1	RepDelBene	WA	rep		1	Democrat	1/3/2019	1/3/2021	https://delbene.house.gov	(202) 225-6311
antonio-delgado	Antonio	Delgado	NY-rep-19	RepDelgado	NY	rep		19	Democrat	1/3/2019	1/3/2021		(202) 225-5614
val-demings	Val	Demings	FL-rep-10	Val_Demings	FL	rep		10	Democrat	1/3/2019	1/3/2021	https://demings.house.gov	(202) 225-2176
mark-desaulnier	Mark	DeSaulnier	CA-rep-11	RepDeSaulnier	CA	rep		11	Democrat	1/3/2019	1/3/2021	https://desaulnier.house.gov	(202) 225-2095
scott-desjarlais	Scott	DesJarlais	TN-rep-4	DesJarlaisTN04	TN	rep		4	Republican	1/3/2019	1/3/2021	https://desjarlais.house.gov	(202) 225-6831
theodore-deutch	Theodore	Deutch	FL-rep-22	RepTedDeutch	FL	rep		22	Democrat	1/3/2019	1/3/2021	https://teddeutch.house.gov	(202) 225-3001
mario-diaz-balart	Mario	Diaz-Balart	FL-rep-25	MarioDB	FL	rep		25	Republican	1/3/2019	1/3/2021	https://mariodiazbalart.house.gov	(202) 225-4211
debbie-dingell	Debbie	Dingell	MI-rep-12	RepDebDingell	MI	rep		12	Democrat	1/3/2019	1/3/2021	https://debbiedingell.house.gov	(202) 225-4071
lloyd-doggett	Lloyd	Doggett	TX-rep-35	RepLloydDoggett	TX	rep		35	Democrat	1/3/2019	1/3/2021	https://doggett.house.gov	(202) 225-4865
michael-doyle	Michael	Doyle	PA-rep-18	USRepMikeDoyle	PA	rep		18	Democrat	1/3/2019	1/3/2021	https://doyle.house.gov	(202) 225-2135
sean-duffy	Sean	Duffy	WI-rep-7	RepSeanDuffy	WI	rep		7	Republican	1/3/2019	1/3/2021	https://duffy.house.gov	(202) 225-3365
jeff-duncan	Jeff	Duncan	SC-rep-3	RepJeffDuncan	SC	rep		3	Republican	1/3/2019	1/3/2021	https://jeffduncan.house.gov	(202) 225-5301
neal-dunn	Neal	Dunn	FL-rep-2	DrNealDunn	FL	rep		2	Republican	1/3/2019	1/3/2021	https://dunn.house.gov	(202) 225-5235
tom-emmer	Tom	Emmer	MN-rep-6	RepTomEmmer	MN	rep		6	Republican	1/3/2019	1/3/2021	https://emmer.house.gov	(202) 225-2331
eliot-engel	Eliot	Engel	NY-rep-16	RepEliotEngel	NY	rep		16	Democrat	1/3/2019	1/3/2021	https://engel.house.gov	(202) 225-2464
veronica-escobar	Veronica	Escobar	TX-rep-16	RepEscobar	TX	rep		16	Democrat	1/3/2019	1/3/2021		(202) 225-4831
anna-eshoo	Anna	Eshoo	CA-rep-18	RepAnnaEshoo	CA	rep		18	Democrat	1/3/2019	1/3/2021	http://eshoo.house.gov	(202) 225-8104
adriano-espaillat	Adriano	Espaillat	NY-rep-13	EspaillatNY	NY	rep		13	Democrat	1/3/2019	1/3/2021	https://espaillat.house.gov	(202) 225-4365
ron-estes	Ron	Estes	KS-rep-4	RepRonEstes	KS	rep		4	Republican	1/3/2019	1/3/2021	https://estes.house.gov	(202) 225-6216
dwight-evans	Dwight	Evans	PA-rep-3	RepDwightEvans	PA	rep		3	Democrat	1/3/2019	1/3/2021	https://evans.house.gov	(202) 225-4001
a-ferguson	A.	Ferguson	GA-rep-3	DrewFergusonGA	GA	rep		3	Republican	1/3/2019	1/3/2021	https://ferguson.house.gov	(202) 225-5901
abby-finkenauer	Abby	Finkenauer	IA-rep-1	RepFinkenauer	IA	rep		1	Democrat	1/3/2019	1/3/2021		(202) 225-2911
brian-fitzpatrick	Brian	Fitzpatrick	PA-rep-1	RepBrianFitz	PA	rep		1	Republican	1/3/2019	1/3/2021	https://fitzpatrick.house.gov	(202) 225-4276
charles-fleischmann	Charles	Fleischmann	TN-rep-3	RepChuck	TN	rep		3	Republican	1/3/2019	1/3/2021	https://fleischmann.house.gov	(202) 225-3271
lizzie-fletcher	Lizzie	Fletcher	TX-rep-7	RepFletcher	TX	rep		7	Democrat	1/3/2019	1/3/2021		(202) 225-2571
bill-flores	Bill	Flores	TX-rep-17	RepBillFlores	TX	rep		17	Republican	1/3/2019	1/3/2021	https://flores.house.gov	(202) 225-6105
jeff-fortenberry	Jeff	Fortenberry	NE-rep-1	JeffFortenberry	NE	rep		1	Republican	1/3/2019	1/3/2021	https://fortenberry.house.gov	(202) 225-4806
bill-foster	Bill	Foster	IL-rep-11	RepBillFoster	IL	rep		11	Democrat	1/3/2019	1/3/2021	https://foster.house.gov	(202) 225-3515
virginia-foxx	Virginia	Foxx	NC-rep-5	virginiafoxx	NC	rep		5	Republican	1/3/2019	1/3/2021	https://foxx.house.gov	(202) 225-2071
lois-frankel	Lois	Frankel	FL-rep-21	RepLoisFrankel	FL	rep		21	Democrat	1/3/2019	1/3/2021	https://frankel.house.gov	(202) 225-9890
marcia-fudge	Marcia	Fudge	OH-rep-11	RepMarciaFudge	OH	rep		11	Democrat	1/3/2019	1/3/2021	https://fudge.house.gov	(202) 225-7032
russ-fulcher	Russ	Fulcher	ID-rep-1	RepRussFulcher	ID	rep		1	Republican	1/3/2019	1/3/2021		(202) 225-6611
tulsi-gabbard	Tulsi	Gabbard	HI-rep-2	TulsiPress	HI	rep		2	Democrat	1/3/2019	1/3/2021	https://gabbard.house.gov	(202) 225-4906
matt-gaetz	Matt	Gaetz	FL-rep-1	MattGaetz	FL	rep		1	Republican	1/3/2019	1/3/2021	https://gaetz.house.gov	(202) 225-4136
mike-gallagher	Mike	Gallagher	WI-rep-8	MikeforWI	WI	rep		8	Republican	1/3/2019	1/3/2021	https://gallagher.house.gov	(202) 225-5665
ruben-gallego	Ruben	Gallego	AZ-rep-7	RepRubenGallego	AZ	rep		7	Democrat	1/3/2019	1/3/2021	https://rubengallego.house.gov	(202) 225-4065
john-garamendi	John	Garamendi	CA-rep-3	RepGaramendi	CA	rep		3	Democrat	1/3/2019	1/3/2021	https://garamendi.house.gov	(202) 225-1880
jesus-garcia	Jes'us	Garc'ia	IL-rep-4	RepChuyGarcia	IL	rep		4	Democrat	1/3/2019	1/3/2021		(202) 225-8203
sylvia-garcia	Sylvia	Garcia	TX-rep-29	RepSylviaGarcia	TX	rep		29	Democrat	1/3/2019	1/3/2021		(202) 225-1688
greg-gianforte	Greg	Gianforte	MT-rep-0	GregForMontana	MT	rep		0	Republican	1/3/2019	1/3/2021	https://gianforte.house.gov	(202) 225-3211
bob-gibbs	Bob	Gibbs	OH-rep-7	RepBobGibbs	OH	rep		7	Republican	1/3/2019	1/3/2021	https://gibbs.house.gov	(202) 225-6265
louie-gohmert	Louie	Gohmert	TX-rep-1	replouiegohmert	TX	rep		1	Republican	1/3/2019	1/3/2021	https://gohmert.house.gov	(202) 225-3035
jared-golden	Jared	Golden	ME-rep-2	RepGolden	ME	rep		2	Democrat				
jimmy-gomez	Jimmy	Gomez	CA-rep-34	RepJimmyGomez	CA	rep		34	Democrat	1/3/2019	1/3/2021	https://gomez.house.gov	(202) 225-6235
anthony-gonzalez	Anthony	Gonzalez	OH-rep-16	RepAGonzalez	OH	rep		16	Republican	1/3/2019	1/3/2021		(202) 225-3876
vicente-gonzalez	Vicente	Gonzalez	TX-rep-15	VoteVincente	TX	rep		15	Democrat	1/3/2019	1/3/2021	https://gonzalez.house.gov	(202) 225-2531
lance-gooden	Lance	Gooden	TX-rep-5	RepLanceGooden	TX	rep		5	Republican	1/3/2019	1/3/2021		(202) 225-3484
paul-gosar	Paul	Gosar	AZ-rep-4	RepGosar	AZ	rep		4	Republican	1/3/2019	1/3/2021	https://gosar.house.gov	(202) 225-2315
josh-gottheimer	Josh	Gottheimer	NJ-rep-5	JoshGottheimer	NJ	rep		5	Democrat	1/3/2019	1/3/2021	https://gottheimer.house.gov	(202) 225-4465
kay-granger	Kay	Granger	TX-rep-12	RepKayGranger	TX	rep		12	Republican	1/3/2019	1/3/2021	https://kaygranger.house.gov	(202) 225-5071
tom-graves	Tom	Graves	GA-rep-14	RepGarretGraves	GA	rep		14	Republican	1/3/2019	1/3/2021	https://tomgraves.house.gov	(202) 225-5211
garret-graves	Garret	Graves	LA-rep-6	RepSamGraves	LA	rep		6	Republican	1/3/2019	1/3/2021	https://garretgraves.house.gov	(202) 225-3901
sam-graves	Sam	Graves	MO-rep-6	RepTomGraves	MO	rep		6	Republican	1/3/2019	1/3/2021	https://graves.house.gov	(202) 225-7041
mark-green	Mark	Green	TN-rep-7	RepAlGreen	TN	rep		7	Republican	1/3/2019	1/3/2021		(202) 225-2811
al-green	Al	Green	TX-rep-9	RepMarkGreen	TX	rep		9	Democrat	1/3/2019	1/3/2021	https://algreen.house.gov	(202) 225-7508
h-griffith	H.	Griffith	VA-rep-9	RepMGriffith	VA	rep		9	Republican	1/3/2019	1/3/2021	https://morgangriffith.house.gov	(202) 225-3861
raul-grijalva	Ra'ul	Grijalva	AZ-rep-3	RepRaulGrijalva	AZ	rep		3	Democrat	1/3/2019	1/3/2021	https://grijalva.house.gov	(202) 225-2435
glenn-grothman	Glenn	Grothman	WI-rep-6	RepGrothman	WI	rep		6	Republican	1/3/2019	1/3/2021	https://grothman.house.gov	(202) 225-2476
michael-guest	Michael	Guest	MS-rep-3	RepMichaelGuest	MS	rep		3	Republican	1/3/2019	1/3/2021		(202) 225-5031
brett-guthrie	Brett	Guthrie	KY-rep-2	RepGuthrie	KY	rep		2	Republican	1/3/2019	1/3/2021	https://guthrie.house.gov	(202) 225-3501
debra-haaland	Debra	Haaland	NM-rep-1	RepDebHaaland	NM	rep		1	Democrat	1/3/2019	1/3/2021		(202) 225-6316
jim-hagedorn	Jim	Hagedorn	MN-rep-1	RepHagedorn	MN	rep		1	Republican	1/3/2019	1/3/2021		(202) 225-2472
josh-harder	Josh	Harder	CA-rep-10	RepJoshHarder	CA	rep		10	Democrat	1/3/2019	1/3/2021		(202) 225-4540
andy-harris	Andy	Harris	MD-rep-1	RepAndyHarrisMD	MD	rep		1	Republican	1/3/2019	1/3/2021	https://harris.house.gov	(202) 225-5311
vicky-hartzler	Vicky	Hartzler	MO-rep-4	RepHartzler	MO	rep		4	Republican	1/3/2019	1/3/2021	https://hartzler.house.gov	(202) 225-2876
alcee-hastings	Alcee	Hastings	FL-rep-20	RepHastingsFL	FL	rep		20	Democrat	1/3/2019	1/3/2021	https://alceehastings.house.gov	(202) 225-1313
jahana-hayes	Jahana	Hayes	CT-rep-5	RepJahanaHayes	CT	rep		5	Democrat	1/3/2019	1/3/2021		(202) 225-4476
denny-heck	Denny	Heck	WA-rep-10	RepDennyHeck	WA	rep		10	Democrat	1/3/2019	1/3/2021	https://dennyheck.house.gov	(202) 225-9740
kevin-hern	Kevin	Hern	OK-rep-1	RepKevinHern	OK	rep		1	Republican	1/3/2019	1/3/2021	https://hern.house.gov	(202) 225-2211
jaime-herrera-beutler	Jaime	Herrera Beutler	WA-rep-3	HerreraBeutler	WA	rep		3	Republican	1/3/2019	1/3/2021	https://herrerabeutler.house.gov	(202) 225-3536
jody-hice	Jody	Hice	GA-rep-10	CongressmanHice	GA	rep		10	Republican	1/3/2019	1/3/2021	https://hice.house.gov	(202) 225-4101
clay-higgins	Clay	Higgins	LA-rep-3	CaptClayHIggins	LA	rep		3	Republican	1/3/2019	1/3/2021	https://clayhiggins.house.gov	(202) 225-2031
brian-higgins	Brian	Higgins	NY-rep-26	RepBrianHiggins	NY	rep		26	Democrat	1/3/2019	1/3/2021	https://higgins.house.gov	(202) 225-3306
french-hill	French	Hill	AR-rep-2	RepFrenchHill	AR	rep		2	Republican	1/3/2019	1/3/2021	https://hill.house.gov	(202) 225-2506
katie-hill	Katie	Hill	CA-rep-25	RepKatieHill	CA	rep		25	Democrat	1/3/2019	1/3/2021		(202) 225-1956
james-himes	James	Himes	CT-rep-4	jahimes	CT	rep		4	Democrat	1/3/2019	1/3/2021	https://himes.house.gov	(202) 225-5541
george-holding	George	Holding	NC-rep-2	GeorgeHolding	NC	rep		2	Republican	1/3/2019	1/3/2021	https://holding.house.gov	(202) 225-3032
